Feature,Importance
RH_6,8.610901274940318
RH_2,8.536271291239451
RH_8,8.010210553460668
T8,7.965810264331118
lights,7.788384655724045
RH_5,6.982389815167728
RH_4,6.908243502518422
RH_out,6.8099554168447245
RH_1,6.630042463354686
hour_18,6.493942964449614
