Model,House_RMSE,House_R2,Energy_RMSE,Energy_R2
Linear Regression,22892.466717499447,0.8209280809122584,99.76386010355603,0.17186690019595785
XGBoost (Default),20059.060795560694,0.8625124096870422,74.79461134813624,0.5345271825790405
XGBoost (Tuned),16393.198589659067,0.908173143863678,66.6677498284403,0.6301843523979187
