Feature,Importance
TotalSF,16874.519757598457
OverallQual,14033.316907106166
YearBuilt,4641.671297802511
GrLivArea,4579.715368329054
YearRemodAdd,3299.3223504387825
OverallCond,2923.378688017267
BsmtFinSF1,2717.393572791807
GarageCars,2677.161439783104
LotArea,2562.5861695562226
TotalBath,2531.97702919877
